Food_items,Category,Calories,Fats,Protein,Iron,Carbohydrates,Fibre,Sugar,Meal_Type,Sodium,Vegetarian,Vegan
Brussels Sprouts,Vegetable,,25,33.5,7.5,49.2,2.4,44,Snack,466,TRUE,TRUE
Peas,Vegetable,,4.6,27.8,9.7,33.1,11.6,33.9,Snack,373,TRUE,TRUE
Banana,Fruit,,5.4,17.2,4.9,59.9,4.6,22.4,Snack,471,TRUE,TRUE
Apple,Fruit,,25.5,31.3,5.6,69,12.5,33.9,Dinner,203,TRUE,TRUE
Orange,Fruit,,27.3,17.9,1.6,11.5,3.9,33.8,Breakfast,457,TRUE,TRUE
Strawberries,Fruit,,4.3,8,7.3,49.8,3.9,24.8,Snack,217,TRUE,TRUE
Blueberries,Fruit,,7.6,12,8,2.9,0.3,40.1,Dinner,48,TRUE,TRUE
Pineapple,Fruit,,25.1,47.5,8.4,18.6,2.6,25.8,Snack,145,TRUE,TRUE
Mango,Fruit,,39.6,5.1,0.9,77,10.5,43.2,Breakfast,224,TRUE,TRUE
Grapes,Fruit,,27.1,18.2,0.4,65.2,8,12.4,Breakfast,343,TRUE,TRUE
Watermelon,Fruit,,21.3,33.7,5.4,58.1,5,11.2,Breakfast,49,TRUE,TRUE
Avocado,Fruit,,35.7,46.1,9.8,25.4,14.9,21.3,Lunch,372,TRUE,TRUE
Papaya,Fruit,,15.6,24.8,5.6,65.6,9.8,17.3,Breakfast,247,TRUE,TRUE
Pomegranate,Fruit,,28.7,22.4,4.7,79.9,9.1,32,Snack,105,TRUE,TRUE
Kiwi,Fruit,,31.6,9,8.9,34.6,7.5,0.2,Dinner,235,TRUE,TRUE
Peach,Fruit,,23.2,5.5,6.3,47.9,3.4,11.1,All,310,TRUE,TRUE
Plum,Fruit,,25.1,28.2,0.5,13.8,3.7,15.9,Dinner,201,TRUE,TRUE
Cherries,Fruit,,3.9,14.4,6,74.5,12.2,31.9,Breakfast,318,TRUE,TRUE
Cranberries,Fruit,,24.6,12.4,8.5,7.1,3.4,16.7,Snack,309,TRUE,TRUE
Raspberry,Fruit,,30.6,21.4,6.8,7.7,9.8,32.6,Breakfast,273,TRUE,TRUE
Blackberry,Fruit,,31.3,45,8,22.9,9.7,35.8,Snack,101,TRUE,TRUE
Dates,Fruit,,3.9,40,1.7,11,4,40.2,Lunch,340,TRUE,TRUE
Milk,Dairy,,38.7,34.8,1.5,77,12.3,3.3,Breakfast,34,TRUE,FALSE
Cheddar Cheese,Dairy,,15.3,29.1,5.9,58.1,12.1,16.4,Dinner,245,TRUE,FALSE
Mozzarella,Dairy,,24.9,7.5,8.9,24.6,7,32.2,Dinner,378,TRUE,FALSE
Butter,Dairy,,27.1,31.5,6.3,48.9,9,39,All,291,TRUE,FALSE
Cream Cheese,Dairy,,22.1,24,3,40.5,4.4,40.6,Snack,234,TRUE,FALSE
Parmesan,Dairy,,32.3,31.1,5.8,52.5,10.2,42.4,Breakfast,493,TRUE,FALSE
Yogurt,Dairy,,18.5,48.8,5.4,60.9,3.6,10.1,Breakfast,386,TRUE,FALSE
Buttermilk,Dairy,,7.8,30.9,9,67.1,9.9,5.6,Dinner,64,TRUE,FALSE
Cashews,Nuts,,29.4,43.5,4.7,69.9,11.2,30.6,Lunch,271,TRUE,TRUE
Macadamia Nuts,Nuts,,31.9,41.3,0.4,62.5,14.9,35.6,Lunch,191,TRUE,TRUE
Pecans,Nuts,,39.7,3.9,0.4,21.1,7.1,43,Snack,108,TRUE,TRUE
Brazil Nuts,Nuts,,26.9,20.3,1.1,78.3,4.1,24.6,Lunch,484,TRUE,TRUE
Flax Seeds,Nuts,,38.9,25.4,7.2,21,14.1,25.2,Dinner,86,TRUE,TRUE
Hemp Seeds,Nuts,,0.4,39.2,3,71.4,4.5,36.1,Dinner,331,TRUE,TRUE
Sesame Seeds,Nuts,,34.6,31.2,5.1,9.8,6.8,15.3,Breakfast,410,TRUE,TRUE
Pumpkin Seeds,Nuts,,18.8,15,9.6,12.6,11.6,1.3,All,443,TRUE,TRUE
Sardines,Seafood,,16.8,2.7,3.7,74.1,11.4,22.7,Breakfast,51,FALSE,FALSE
Mackerel,Seafood,,30.2,18.1,6.6,16.1,2.1,30.4,Snack,478,FALSE,FALSE
Lobster,Seafood,,14.2,13.9,6.5,67.4,0.1,28.7,Snack,315,FALSE,FALSE
Crab,Seafood,,5.4,48.9,2.5,58.9,3,14,All,216,FALSE,FALSE
Oysters,Seafood,,3,30.7,6.2,37,9.9,26.7,Dinner,320,FALSE,FALSE
Clams,Seafood,,5.2,45,9,12.1,9.8,39.7,Breakfast,49,FALSE,FALSE
Squid,Seafood,,26.7,50,4,47.3,11.3,43,All,449,FALSE,FALSE
Scallops,Seafood,,25.3,15.7,0.3,4.9,13.9,46.1,All,277,FALSE,FALSE
Green Tea,Beverage,,0.8,39.3,5.1,34.2,13.9,4.2,Lunch,22,TRUE,TRUE
Black Coffee,Beverage,,3.1,16.4,1.2,20,2,28.2,Breakfast,376,TRUE,TRUE
Orange Juice,Beverage,,15.9,25.6,5.4,17.1,1.5,13.1,Lunch,225,TRUE,TRUE
Apple Juice,Beverage,,17.1,46.9,7.5,30.8,7.1,16.3,All,89,TRUE,TRUE
Milkshake,Beverage,,29.6,24.3,4.3,61.6,13.6,19.1,Breakfast,425,TRUE,FALSE
Smoothie,Beverage,,3.1,20.1,1.5,40.7,2.7,41.5,Lunch,141,TRUE,TRUE
Coconut Water,Beverage,,5.1,6.5,2.9,53.7,5,0.1,Dinner,87,TRUE,TRUE
Almond Milk,Beverage,,22.8,8.7,7.1,17.8,12.4,21,Dinner,3,TRUE,TRUE
